batch_id,poison_label,mean_qber,std_qber,skew_qber,kurtosis_qber,frac_qber_0.000,frac_qber_0.125,frac_qber_0.250,frac_qber_0.375,frac_qber_0.500,frac_qber_0.625,frac_qber_0.750,frac_qber_0.875,frac_qber_1.000
47,30,0.29375,0.1671217744640117,0.07123903778414095,-0.5266213506772934,0.09,0.2,0.23,0.28,0.16,0.03,0.01,0.0,0.0
48,30,0.2675,0.17140959716421947,0.32866858400711846,-0.3857075583179821,0.12,0.23,0.26,0.23,0.11,0.04,0.01,0.0,0.0
49,30,0.27375,0.16742069017896208,0.2499775450543844,-0.5315482346677465,0.1,0.24,0.26,0.21,0.16,0.02,0.01,0.0,0.0
50,30,0.24125,0.1632243471422079,0.31817228999358155,-0.5860617666091499,0.15,0.25,0.28,0.19,0.1,0.03,0.0,0.0,0.0
51,30,0.29625,0.17558384749173256,0.558966171715831,-0.046657049247917026,0.07,0.19,0.37,0.15,0.14,0.05,0.03,0.0,0.0
52,30,0.2775,0.1557040461902002,0.32353107004595677,-0.5589184988197697,0.06,0.25,0.32,0.19,0.14,0.04,0.0,0.0,0.0
53,30,0.23125,0.16618419750385413,0.5569517347408044,-0.37004375321347105,0.15,0.3,0.28,0.13,0.1,0.04,0.0,0.0,0.0
54,30,0.26375,0.17579729093475815,0.4299430025630028,-0.4233622266220718,0.12,0.26,0.25,0.2,0.11,0.05,0.01,0.0,0.0
55,30,0.24375,0.16044372066241794,0.2635190051466434,-0.6801264618990932,0.14,0.25,0.29,0.18,0.12,0.02,0.0,0.0,0.0
56,30,0.22875,0.1551763110142782,0.4499801548760914,-0.2853214057338809,0.14,0.3,0.27,0.2,0.06,0.03,0.0,0.0,0.0
57,30,0.23375,0.1485923534371806,0.35915200882762305,-0.455922540984405,0.12,0.28,0.34,0.14,0.11,0.01,0.0,0.0,0.0
58,30,0.27125,0.17144149876853035,0.4130738819425124,-0.28184619824868173,0.1,0.26,0.23,0.27,0.07,0.06,0.01,0.0,0.0
59,30,0.2775,0.15670433944214815,0.3715822873316164,-0.36145178340848894,0.06,0.26,0.28,0.26,0.08,0.06,0.0,0.0,0.0
